name,release date,stockx search,search quality,
Sade Tee,2/16/2017,supreme-Sade-Tee-black,246,
Elephant Tee,2/16/2017,supreme-Elephant-Tee-black,315,
Abstract Tee,2/16/2017,supreme-Abstract-Tee-black,138,
Eternal Tee,2/16/2017,supreme-Eternal-Tee-black,80,
FTP Tee,2/16/2017,supreme-FTP-Tee-black,127,
Automatic Tee,2/16/2017,supreme-Automatic-Tee-black,79,
Joe Roberts Swirl Tee,2/16/2017,supreme-Joe-Roberts-Swirl-Tee-black,120,
Dream Tee,2/16/2017,supreme-Dream-Tee-black,123,
Been Hit L/S Tee,2/16/2017,supreme-Been-Hit-ls-Tee-black,137,
Larry Clark Girl Tee,2/16/2017,supreme-Larry-Clark-Girl-Tee-black,83,
Mirage Tee,6/29/2017,supreme-Mirage-Tee-black,60,
Digi Tee,6/29/2017,supreme-Digi-Tee-black,76,
Punany Train Tee,6/29/2017,supreme-wilfred-limonius-punany-train-tee-black,78,
Super Supreme Tee,6/29/2017,supreme-wilfred-limonius-super-supreme-tee-black,101,
Undercover Lover Tee,6/29/2017,supreme-wilfred-limonius-undercover-lover-tee-black,99,
Orgy Tee,6/29/2017,supreme-Orgy-Tee-black,88,
Go Fuck Yourself Tee,6/29/2017,supreme-go-fuck-yourself-pocket-tee-black,75,
Buy Off The Bar Tee,6/29/2017,supreme-wilfred-limonius-buy-off-the-bar-tee-black,87,
Nas Tee,8/24/2017,supreme-Nas-Tee-black,297,
Crash Tee,8/24/2017,supreme-Crash-Tee-black,175,
Dollar Tee,8/24/2017,supreme-Dollar-Tee-black,154,
DNA Tee,8/24/2017,supreme-DNA-Tee-black,87,
Gonz Heads Tee,8/24/2017,supreme-Gonz-Heads-Tee-black,99,
Fuck With Your Head Tee,8/24/2017,supreme-Fuck-With-Your-Head-Tee-black,113,
Venus Tee,8/24/2017,supreme-Venus-Tee-black,71,
Bloom L/S Tee,8/24/2017,supreme-Bloom-ls-Tee-black,67,
Kiss Tee,8/24/2017,supreme-Kiss-Tee-black,80,
Plant Tee,9/21/2017,supreme-Plant-Tee-black,85,
Friends Tee,9/21/2017,supreme-Friends-Tee-black,95,
Candle Tee,9/21/2017,supreme-Candle-Tee-black,51,
Piss Christ Tee,9/21/2017,supreme-Piss-Christ-Tee-black,98,
Madonna & Child Tee,9/21/2017,supreme-Madonna-Child-Tee-black,65,
Decline of Western Civilization Tee,9/21/2017,supreme-Decline-of-Western-Civilization-Tee-black,47,
Scarface™ Split Tee,10/12/2017,supreme-Scarface-Split-Tee-black,267,
Scarface™ Blimp Tee,10/12/2017,supreme-Scarface-Blimp-Tee-black,208,
Scarface™ Friend Tee,10/12/2017,supreme-Scarface-Friend-Tee-black,167,
Scarface™ Shower Tee,10/12/2017,supreme-Scarface-Shower-Tee-black,144,
AKIRA/Supreme Pill Tee,11/2/2017,supreme-akirasupreme-pill-tee-black,253,
AKIRA/Supreme Arm Tee,11/2/2017,supreme-akirasupreme-arm-tee-black,230,
AKIRA/Supreme Yamagata Tee,11/2/2017,supreme-akirasupreme-yamagata-tee-black,167,
AKIRA/Supreme Syringe Tee,11/2/2017,supreme-akirasupreme-syringe-tee-black,150,
Supreme®/Independent® Old English Tee,11/16/2017,supreme-independent-old-english-tee-black,80,
Supreme®/The North Face® Mountain Tee,11/30/2017,supreme-the-north-face-mountain-tee-black,217,
Arabic Logo L/S Tee,12/14/2017,supreme-Arabic-Logo-ls-Tee-black,201,
Gonz Tee,12/14/2017,supreme-Gonz-Tee-black,126,
Fire Tee,12/14/2017,supreme-Fire-Tee-black,133,
Fuck Wool Scarf,12/14/2017,supreme-Fuck-Wool-Scarf-black,93,
Horror Tee,12/14/2017,supreme-Horror-Tee-black,128,
Dog Shit Tee,12/14/2017,supreme-Dog-Shit-Tee-black,73,
FTW Tee,2/15/2018,supreme-FTW-Tee-black,124,
Cards Tee,2/15/2018,supreme-Cards-Tee-black,91,
Chicken Dinner Tee,2/15/2018,supreme-Chicken-Dinner-Tee-black,117,
Necklace Tee,2/15/2018,supreme-Necklace-Tee-black,153,
Jellyfish Tee,2/15/2018,supreme-Jellyfish-Tee-black,98,
Prodigy Tee,2/15/2018,supreme-Prodigy-Tee-black,58,
Molotov Tee,2/15/2018,supreme-Molotov-Tee-black,59,
Chair Tee,2/15/2018,supreme-Chair-Tee-black,55,
Chart Tee,2/15/2018,supreme-Chart-Tee-black,85,
Ripple L/S Tee,2/15/2018,supreme-Ripple-ls-Tee-black,95,
FTW Tee,2/22/2018,supreme-FTW-Tee-black,124,
Cards Tee,2/22/2018,supreme-Cards-Tee-black,91,
Chicken Dinner Tee,2/22/2018,supreme-Chicken-Dinner-Tee-black,117,
Necklace Tee,2/22/2018,supreme-Necklace-Tee-black,153,
Jellyfish Tee,2/22/2018,supreme-Jellyfish-Tee-black,98,
Prodigy Tee,2/22/2018,supreme-Prodigy-Tee-black,58,
Molotov Tee,2/22/2018,supreme-Molotov-Tee-black,59,
Chair Tee,2/22/2018,supreme-Chair-Tee-black,55,
Chart Tee,2/22/2018,supreme-Chart-Tee-black,85,
Ripple L/S Tee,2/22/2018,supreme-Ripple-ls-Tee-black,95,
Supreme®/UNDERCOVER/Public Enemy White House Tee,3/15/2018,supreme-undercoverpublic-enemy-white-house-tee-black,89,
Supreme®/UNDERCOVER/Public Enemy Tee,3/15/2018,supreme-undercoverpublic-enemy-tee-black,73,
Supreme®/UNDERCOVER/Public Enemy Counterattack L/S Tee,3/15/2018,supreme-undercoverpublic-enemy-counterattack-ls-tee-black,87,
Supreme®/UNDERCOVER/Public Enemy Terrordome Tee,3/15/2018,supreme-undercoverpublic-enemy-terrordome-tee-black,83,
TV Tee,3/29/2018,supreme-TV-Tee-black,172,
Diamonds Tee,3/29/2018,supreme-Diamonds-Tee-black,125,
Fiorenza Tee,3/29/2018,supreme-Fiorenza-Tee-black,68,
Ladybug Tee,3/29/2018,supreme-Ladybug-Tee-black,56,
Fuck Face Tee,3/29/2018,supreme-Fuck-Face-Tee-black,73,
Nan Goldin/Supreme Kim in Rhinestone Tee,3/29/2018,supreme-nan-goldinsupreme-kim-in-rhinestone-tee-black,78,
Nan Goldin/Supreme Misty and Jimmy Paulette Tee,3/29/2018,supreme-nan-goldinsupreme-misty-and-jimmy-paulette-tee-black,65,
Nan Goldin/Supreme Nan as a dominatrix Tee,3/29/2018,supreme-nan-goldinsupreme-nan-as-a-dominatrix-tee-black,62,
Supreme®/The North Face® Metallic Logo T-Shirt,4/5/2018,supreme-the-north-face-metallic-logo-t-shirt-black,156,
Supreme/Hellraiser Hell on Earth Tee,4/26/2018,supreme-hellraiser-hell-on-earth-tee-black,98,
Supreme/Hellraiser Pinhead Tee,4/26/2018,supreme-hellraiser-pinhead-tee-black,101,
Dream Tee,5/31/2018,supreme-Dream-Tee-black,123,
Supreme®/Spitfire® Classic Swirl T-Shirt,6/21/2018,supreme-spitfire-classic-swirl-t-shirt-black,67,
Supreme®/Spitfire® Cat T-Shirt,6/21/2018,supreme-spitfire-cat-t-shirt-black,71,
Madonna Tee,8/16/2018,supreme-Madonna-Tee-black,178,
Liquid Tee,8/16/2018,supreme-Liquid-Tee-black,94,
Still Life Tee,8/16/2018,supreme-Still-Life-Tee-black,82,
1994 L/S Tee,8/16/2018,supreme-1994-ls-Tee-black,98,
Bottle Cap Tee,8/16/2018,supreme-Bottle-Cap-Tee-black,69,
Cutouts Tee,8/16/2018,supreme-Cutouts-Tee-black,75,
Life Sucks Die Tee,8/16/2018,supreme-Life-Sucks-Die-Tee-black,64,
Bedroom Tee,8/16/2018,supreme-Bedroom-Tee-black,59,
Fuck You Tee,8/16/2018,supreme-Fuck-You-Tee-black,63,
Guts Tee,8/16/2018,supreme-Guts-Tee-black,56,
Mike Kelley/Supreme The Empire State Building Tee,9/6/2018,supreme-mike-kelley-supreme-the-empire-state-building-tee-black,70,
Mike Kelley/Supreme Ahh…Youth! Tee,9/6/2018,supreme-mike-kelley-supreme-ahhyouth-tee-black,126,
Mike Kelley/Supreme Ahh…Youth! L/S Tee,9/6/2018,supreme-mike-kelley-supreme-ahhyouth-l-s-tee-black,166,
Mike Kelley/Supreme Hiding From Indians Tee,9/6/2018,supreme-mike-kelley-supreme-hiding-from-indians-tee-black,59,
Supreme®/Comme des Garçons SHIRT® Split Box Logo Tee,9/13/2018,supreme-comme-des-garcons-shirt-split-box-logo-tee-black,317,
Group Tee,9/20/2018,supreme-Group-Tee-black,87,
Remember Tee,9/20/2018,supreme-Remember-Tee-black,81,
Liquid Swords Tee,9/20/2018,supreme-Liquid-Swords-Tee-black,99,
Eternal Tee,9/20/2018,supreme-Eternal-Tee-black,80,
Payphone Tee,9/20/2018,supreme-Payphone-Tee-black,55,
Faces Tee,9/20/2018,supreme-Faces-Tee-black,59,
System Tee,9/20/2018,supreme-System-Tee-black,45,
The Killer Trust Tee,10/25/2018,supreme-The-Killer-Trust-Tee-black,238,
Chris Cunningham Chihuahua Tee,11/8/2018,supreme-Chris-Cunningham-Chihuahua-Tee-black,73,
Chris Cunningham Rubber Johnny Tee,11/8/2018,supreme-Chris-Cunningham-Rubber-Johnny-Tee-black,51,
Supreme®/The North Face® Photo Tee,11/29/2018,supreme-the-north-face-photo-tee-black,91,
Cat in the Hat Tee,12/13/2018,supreme-Cat-in-the-Hat-Tee-black,107,
Marvin Gaye Tee,12/13/2018,supreme-Marvin-Gaye-Tee-black,64,
Smile Tee,12/13/2018,supreme-Smile-Tee-black,104,
Luden's® Tee,12/13/2018,supreme-ludens-tee-black,64,
Bombay Tee,12/13/2018,supreme-Bombay-Tee-black,53,
Creeper Tee,2/25/2019,supreme-Creeper-Tee-black,96,
Christopher Walken King Of New York Tee,2/25/2019,supreme-king-of-new-york-tee-black,92,
The Real Shit L/S Tee,2/25/2019,supreme-the-real-shit-l-s-tee-black,86,
Knot Tee,2/25/2019,supreme-Knot-Tee-black,54,
Fruit Tee,2/25/2019,supreme-Fruit-Tee-black,66,
Kids Tee,2/25/2019,supreme-Kids-Tee-black,79,
Fronts Tee,2/25/2019,supreme-Fronts-Tee-black,65,
Hard Goods Tee,2/25/2019,supreme-Hard-Goods-Tee-black,79,
Leda And The Swan Tee,2/25/2019,supreme-Leda-And-The-Swan-Tee-black,57,
Original Sin Tee,2/25/2019,supreme-Original-Sin-Tee-black,64,
Middle Finger To The World Tee,2/25/2019,supreme-Middle-Finger-To-The-World-Tee-black,49,
Gilbert & George/Supreme LIFE Tee,3/21/2019,supreme-gilbert-george-supreme-life-tee-black,78,
Gilbert & George/Supreme DEATH Tee,3/21/2019,supreme-gilbert-george-supreme-death-tee-black,68,
Cupid Tee,4/4/2019,supreme-Cupid-Tee-black,141,
Who The Fuck Tee,4/4/2019,supreme-Who-The-Fuck-Tee-black,65,
Ghost Rider© Tee,4/4/2019,supreme-ghost-rider-tee-black,71,
Riders Tee,4/4/2019,supreme-Riders-Tee-black,61,
The Persistence of Memory Tee,4/4/2019,supreme-The-Persistence-of-Memory-Tee-black,67,
Molotov Kid Tee,4/4/2019,supreme-Molotov-Kid-Tee-black,62,
Suzie Switchblade Tee,4/4/2019,supreme-Suzie-Switchblade-Tee-black,60,
Keyboard Tee,4/4/2019,supreme-Keyboard-Tee-black,53,
Headline Tee,4/4/2019,supreme-Headline-Tee-black,56,
Supreme®/Jean Paul Gaultier® Tee,4/11/2019,supreme-jean-paul-gaultier-tee-black,133,
Supreme®/Swarovski® Box Logo Tee,4/25/2019,supreme-swarovski-box-logo-tee-black,719,
Buju Banton Tee,6/27/2019,supreme-Buju-Banton-Tee-black,135,
Dynamite Tee,6/27/2019,supreme-Dynamite-Tee-black,75,
Reaper Tee,6/27/2019,supreme-Reaper-Tee-black,75,
Buju Banton Wake The World Tee,6/27/2019,supreme-Buju-Banton-Wake-The-World-Tee-black,83,
Bela Lugosi Tee,6/27/2019,supreme-Bela-Lugosi-Tee-black,61,
Greetings Tee,6/27/2019,supreme-Greetings-Tee-black,51,
Cloud Tee,6/27/2019,supreme-Cloud-Tee-black,60,
It Gets Better Every Time Tee,6/27/2019,supreme-It-Gets-Better-Every-Time-Tee-black,49,
Shears Tee,6/27/2019,supreme-Shears-Tee-black,54,
Banner Tee,8/22/2019,supreme-Banner-Tee-black,86,
Smoke Tee,8/22/2019,supreme-Smoke-Tee-black,82,
Mary J. Blige Tee,8/22/2019,supreme-Mary-J-Blige-Tee-black,79,
Heaven and Earth Tee,8/22/2019,supreme-Heaven-and-Earth-Tee-black,59,
Save The Planet Tee,8/22/2019,supreme-Save-The-Planet-Tee-black,50,
New Shit Tee,8/22/2019,supreme-New-Shit-Tee-black,55,
Queen Tee,8/22/2019,supreme-Queen-Tee-black,57,
Levitation Tee,8/22/2019,supreme-Levitation-Tee-black,68,
Faces L/S Tee,8/22/2019,supreme-faces-l-s-tee-black,63,
Super Cream Tee,8/22/2019,supreme-Super-Cream-Tee-black,47,
Supreme/The Velvet Underground Tee,9/19/2019,supreme-the-velvet-underground-tee-black,56,
Supreme/The Velvet Underground & Nico Tee,9/19/2019,supreme-the-velvet-underground-nico-tee-black,54,
Supreme/The Velvet Underground Drawing Tee,9/19/2019,supreme-the-velvet-underground-drawing-tee-black,56,
Pillows Tee,10/10/2019,supreme-Pillows-Tee-black,74,
Life Tee,10/10/2019,supreme-Life-Tee-black,57,
Bible Tee,10/10/2019,supreme-Bible-Tee-black,76,
Mercenary Tee,10/10/2019,supreme-Mercenary-Tee-black,58,
American Picture Tee,10/10/2019,supreme-American-Picture-Tee-black,55,
Cheese Tee,10/10/2019,supreme-Cheese-Tee-black,52,
We're Back Tee,10/10/2019,supreme-were-back-tee-black,49,
Inc. Tee,10/10/2019,supreme-Inc-Tee-black,56,
Heroines Tee,10/10/2019,supreme-Heroines-Tee-black,65,
SF Box Logo Tee,10/24/2019,supreme-san-francisco-box-logo-tee-black,452,
Supreme/dead prez Tee,12/5/2019,supreme-dead-prez-tee-black,64,
Supreme/dead prez RBG Tee,12/5/2019,supreme-dead-prez-rbg-tee-black,67,
Bandana Box Logo Tee,12/19/2019,supreme-Bandana-Box-Logo-Tee-black,312,
Aguila Tee,12/19/2019,supreme-Aguila-Tee-black,79,
Bite Tee,12/19/2019,supreme-Bite-Tee-black,62,
Eat Me Tee,12/19/2019,supreme-Eat-Me-Tee-black,53,
Bridge Tee,12/19/2019,supreme-Bridge-Tee-black,67,
D'Hiver Tee,12/19/2019,supreme-d-hiver-tee-black,59,
Money Power Respect Tee,12/19/2019,supreme-Money-Power-Respect-Tee-black,56,
Clowns Tee,12/19/2019,supreme-clowns-tee-bleached-black,63,"colors are bleached red, black, navy"
